Locus.Tag,Gene.Name,Protein.Code,Protein.Product
NCAV_1665,rnz,A0A2K5AT45,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)
NCAV_1533,NCAV_1533,A0A2K5ASS6,Uncharacterized protein
NCAV_0774,NCAV_0774,A0A2K5AQQ2,DUF2070 domain-containing protein
NCAV_1647,metK,A0A2K5AT35,Methionine adenosyltransferase (EC 2.5.1.6)
NCAV_1355,NCAV_1355,A0A2K5ASA6,Histidine kinase (EC 2.7.13.3)
NCAV_0304,NCAV_0304,A0A2K5APC0,Uncharacterized protein
NCAV_0945,birA,A0A2K5AR50,Biotin-[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)
NCAV_0710,NCAV_0710,A0A2K5AQF7,Uncharacterized protein
NCAV_0800,NCAV_0800,A0A2K5AQQ6,Uncharacterized protein
NCAV_0149,rps27e,A0A2K5AP14,30S ribosomal protein S27e
NCAV_0891,NCAV_0891,A0A2K5AQY7,Phosphatase of the haloacid dehalogenase (HAD)-like hydrolase family
NCAV_0127,NCAV_0127,A0A2K5ANW7,4-hydroxybutyryl-CoA dehydratase (EC 4.2.1.120)
NCAV_0383,aroC,A0A2K5APN8,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
NCAV_0888,NCAV_0888,A0A2K5AR01,DNA helicase (EC 3.6.4.12)
NCAV_1501,NCAV_1501,A0A2K5ASR5,Uncharacterized protein
NCAV_0648,NCAV_0648,A0A2K5AQ99,Uncharacterized protein
NCAV_0584,NCAV_0584,A0A2K5AQ85,Glycosyl transferase group 1
NCAV_1729,NCAV_1729,A0A2K5ATB3,Uncharacterized protein
NCAV_1417,NCAV_1417,A0A2K5ASG3,Uncharacterized protein
NCAV_0781,NCAV_0781,A0A2K5AQM8,Uncharacterized protein
NCAV_0171,hmgA,A0A2K5AP02,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase)
NCAV_1042,NCAV_1042,A0A2K5ARI9,Uncharacterized protein
NCAV_1206,NCAV_1206,A0A2K5ARU5,"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
NCAV_0089,NCAV_0089,A0A2K5ANV5,Putative 4-oxalocrotonate tautomerase
NCAV_1569,NCAV_1569,A0A2K5ASZ8,"Ribosomal protein S12 methylthiotransferase accessory factor YcaO (ArCOG02882, PF02624, COG1944)"
NCAV_1020,NCAV_1020,A0A2K5ARE3,EVE domain-containing protein
NCAV_0607,NCAV_0607,A0A2K5AQ86,Uncharacterized protein
NCAV_0369,NCAV_0369,A0A2K5APJ8,PepSY domain-containing protein
NCAV_1553,NCAV_1553,A0A2K5ASU1,Uncharacterized protein
NCAV_0270,nuoJ,A0A2K5APB9,NADH-quinone oxidoreductase subunit J (EC 1.6.5.11)
NCAV_1231,aspS,A0A2K5ARW5,Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)
NCAV_1004,NCAV_1004,A0A2K5AR93,"Putative signal transduction response regulator, receiver domain protein"
NCAV_0016,NCAV_0016,A0A2K5ANJ3,"ABC-type phosphate/phosphonate transport system, permease component"
NCAV_0575,NCAV_0575,A0A2K5AQ31,UDP-glucose 4-epimerase
NCAV_1482,gdhA,A0A2K5ASM7,Glutamate dehydrogenase
NCAV_0890,NCAV_0890,A0A2K5AR13,UPF0147 protein NCAV_0890
NCAV_1222,apgM,A0A2K5ARZ9,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.-)"
NCAV_0873,NCAV_0873,A0A2K5AQY8,dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)
NCAV_0567,mtnP,A0A2K5AQ43,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1)
NCAV_0092,NCAV_0092,A0A2K5ANT0,HTH asnC-type domain-containing protein
NCAV_0896,NCAV_0896,A0A2K5AR00,Peptidase U62
NCAV_1403,NCAV_1403,A0A2K5ASI1,Uncharacterized protein
NCAV_1072,NCAV_1072,A0A2K5ARM0,Uncharacterized protein
NCAV_1258,NCAV_1258,A0A2K5AS14,"Putative SMC domain-containing protein, exonuclease SbcC"
NCAV_1419,NCAV_1419,A0A2K5ASH0,Uncharacterized protein
NCAV_1773,NCAV_1773,A0A2K5ATG0,Uncharacterized protein
NCAV_1433,NCAV_1433,A0A2K5ASL5,Uncharacterized protein
NCAV_1621,NCAV_1621,A0A2K5AT53,Uncharacterized protein
NCAV_0839,purE,A0A2K5AQW6,N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)
NCAV_0569,NCAV_0569,A0A2K5AQ47,Uncharacterized protein
NCAV_0993,ureD,A0A2K5AR88,Urease accessory protein UreD
NCAV_0381,NCAV_0381,A0A2K5APL0,Prephenate dehydrogenase
NCAV_0392,NCAV_0392,A0A2K5APM3,Putative sulfur carrier protein AF_0188
NCAV_1191,NCAV_1191,A0A2K5ARS5,AAA domain-containing protein
NCAV_0804,bioF,A0A2K5AQQ7,8-amino-7-oxononanoate synthase (EC 2.3.1.47)
NCAV_1604,NCAV_1604,A0A2K5AT12,Uncharacterized protein
NCAV_0258,NCAV_0258,A0A2K5AP91,Uncharacterized protein
NCAV_0878,acsA,A0A2K5AQZ2,Acetyl-CoA synthetase (EC 6.2.1.1)
NCAV_0052,ribE,A0A2K5ANP3,Riboflavin synthase (EC 2.5.1.9)
NCAV_1193,NCAV_1193,A0A2K5ART0,Putative Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-)
NCAV_0170,NCAV_0170,A0A2K5AP03,"PMT family glycosyltransferase, 4-amino-4-deoxy-L-arabinose transferase"
NCAV_1328,NCAV_1328,A0A2K5ASB8,Uncharacterized protein
NCAV_1549,NCAV_1549,A0A2K5ASX8,D-tyrosyl-tRNA(Tyr) deacylase
NCAV_1794,NCAV_1794,A0A2K5ATJ3,Uncharacterized protein
NCAV_1651,NCAV_1651,A0A2K5AT73,ATP-dependent helicase
NCAV_1085,NCAV_1085,A0A2K5ARH7,Uncharacterized protein
NCAV_1447,NCAV_1447,A0A2K5ASJ2,Uncharacterized protein
NCAV_1253,lysW,A0A2K5AS02,Alpha-aminoadipate/glutamate carrier protein LysW
NCAV_0481,rpl21e,A0A2K5APW1,50S ribosomal protein L21e
NCAV_0140,NCAV_0140,A0A2K5ANX0,"Putative surface-associated Ca2+-binding protein, Haemolysin-type"
NCAV_1744,NCAV_1744,A0A2K5ATE4,Uncharacterized protein
NCAV_1293,NCAV_1293,A0A2K5AS37,Uncharacterized protein
NCAV_1309,NCAV_1309,A0A2K5AS67,Uncharacterized protein
NCAV_0184,hisD,A0A2K5AP21,Histidinol dehydrogenase (HDH) (EC 1.1.1.23)
NCAV_1150,hemL,A0A2K5ARS4,"Glutamate-1-semialdehyde 2,1-aminomutase 2 (EC 5.4.3.8)"
NCAV_0877,NCAV_0877,A0A2K5AR25,Uncharacterized protein
NCAV_0545,NCAV_0545,A0A2K5AQ05,Putative Nickel-dependent hydrogenase gamma subunit
NCAV_0827,rps3p,A0A2K5AQV1,30S ribosomal protein S3
NCAV_0814,NCAV_0814,A0A2K5AQR6,Uncharacterized protein
NCAV_0075,pyrB,A0A2K5ANQ7,Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
NCAV_1745,NCAV_1745,A0A2K5ATD1,Uncharacterized protein
NCAV_1515,NCAV_1515,A0A2K5ASR9,MEMO1 family protein NCAV_1515
NCAV_0611,NCAV_0611,A0A2K5AQA6,DUF1616 domain-containing protein
NCAV_1169,NCAV_1169,A0A2K5ARR0,Uncharacterized protein
NCAV_0049,gch,A0A2K5ANS0,GTP cyclohydrolase III (EC 3.5.4.29)
NCAV_0020,NCAV_0020,A0A2K5ANK0,PhoU family protein
NCAV_1235,ilvH,A0A2K5ARY0,"Acetolactate synthase III, thiamin-dependent, small subunit (EC 2.2.1.6)"
NCAV_1583,ctaA,A0A2K5ASX1,Putative cytochrome oxidase assembly protein
NCAV_1575,NCAV_1575,A0A2K5ASV8,Putative polyketide cyclase/dehydrase
NCAV_1354,NCAV_1354,A0A2K5AS96,Putative FMN-binding pyridoxamine 5'-phosphate oxidase
NCAV_0970,NCAV_0970,A0A2K5AR97,Uncharacterized protein
NCAV_1287,tatC,A0A2K5AS73,Sec-independent protein translocase protein TatC
NCAV_0547,NCAV_0547,A0A2K5AQ23,"4Fe-4S ferredoxin / putative Nickel-dependent hydrogenase, beta subunit"
NCAV_1585,coxA,A0A2K5ASW7,Cytochrome c oxidase polypeptide 1 (EC 1.9.3.1)
NCAV_0863,fpr,A0A2K5AQY2,Ferredoxin--NADP reductase (EC 1.18.1.2)
NCAV_0309,tktA,A0A2K5APD8,Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
NCAV_0900,rpl10e,A0A2K5AR23,50S ribosomal protein L10e
NCAV_1640,NCAV_1640,A0A2K5AT26,Cob(I)alamin adenosyltransferase (Modular protein)
NCAV_0785,NCAV_0785,A0A2K5AQN6,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)
NCAV_0156,mptE,A0A2K5ANY3,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (6-hydroxymethyl-7,8-dihydropterin diphosphokinase) (6-HMPDK) (7,8-dihydro-6-hydroxymethylpterin diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase) (PPPK)"
NCAV_0116,NCAV_0116,A0A2K5ANU4,Uncharacterized protein
NCAV_0231,NCAV_0231,A0A2K5AP88,Uncharacterized protein
NCAV_0967,NCAV_0967,A0A2K5ARB7,Putative exonuclease of the beta-lactamase fold
NCAV_0119,priB,A0A2K5ANY5,DNA primase large subunit PriL
NCAV_1532,NCAV_1532,A0A2K5ASU9,Glyoxalase/bleomycin resistance protein/dioxygenase (Modular protein)
NCAV_0276,nuoN,A0A2K5APA2,NADH-quinone oxidoreductase subunit N (EC 1.6.5.11)
NCAV_1580,NCAV_1580,A0A2K5ASY3,Uncharacterized protein
NCAV_0362,NCAV_0362,A0A2K5APJ4,Ribosome maturation protein SDO1 homolog
NCAV_0682,NCAV_0682,A0A2K5AQE1,"Putative hydrogenase expression/formation protein, HupF/HypC"
NCAV_0450,NCAV_0450,A0A2K5APT3,Uncharacterized protein
NCAV_0115,NCAV_0115,A0A2K5ANU8,Uncharacterized protein
NCAV_1650,NCAV_1650,A0A2K5AT37,Cupredoxin
NCAV_1587,NCAV_1587,A0A2K5ASY2,"Putative heme/copper-type cytochrome/quinol oxidase, subunit"
NCAV_0974,NCAV_0974,A0A2K5AR67,Uncharacterized protein
NCAV_0786,NCAV_0786,A0A2K5AQS5,DUF35_N domain-containing protein
NCAV_0588,cysC,A0A2K5AQ52,Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)
NCAV_1199,NCAV_1199,A0A2K5ARU6,Uncharacterized protein
NCAV_0522,frdA,A0A2K5AQ17,Succinate dehydrogenase flavoprotein subunit /fumarate reductase (EC 1.-.-.-)
NCAV_0828,rpl22p,A0A2K5AQS6,50S ribosomal protein L22
NCAV_0190,petC,A0A2K5AP26,Putative Rieske 2Fe-2S domain cytochrome b6-f complex iron-sulfur subunit
NCAV_1503,gap,A0A2K5ASS3,"Putative glyceraldehyde-3-phosphate dehydrogenase, phosphorylating (EC 1.2.1.59)"
NCAV_0167,tiaS,A0A2K5AP09,tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS (tRNA(Ile2)-agm2C synthetase) (EC 6.3.4.22) (tRNA(Ile2) agmatidine synthetase)
NCAV_0325,NCAV_0325,A0A2K5API4,Uncharacterized protein
NCAV_0380,NCAV_0380,A0A2K5APK7,Nudix hydrolase domain-containing protein
NCAV_1143,NCAV_1143,A0A2K5ARP5,Adenylate cyclase
NCAV_0771,NCAV_0771,A0A2K5AQL8,Protein translation factor SUI1 homolog
NCAV_0131,NCAV_0131,A0A2K5ANW3,Putative PUA domain protein
NCAV_1797,NCAV_1797,A0A2K5ATI9,Geranylgeranylglyceryl phosphate synthase (GGGP synthase) (GGGPS) (EC 2.5.1.41) ((S)-3-O-geranylgeranylglyceryl phosphate synthase) (Phosphoglycerol geranylgeranyltransferase)
NCAV_1544,NCAV_1544,A0A2K5ASW0,Ferritin domain-containing protein
NCAV_0987,ribK,A0A2K5ARE1,CTP-dependent riboflavin kinase (EC 2.7.1.161) (CTP:riboflavin 5'-phosphotransferase) (Flavokinase) (Riboflavin kinase)
NCAV_1251,lysY,A0A2K5ARY9,Putative [LysW]-L-2-aminoadipate/[LysW]-L-glutamate phosphate reductase (EC 1.2.1.103)
NCAV_0079,dps,A0A2K5ANU5,DNA protection during starvation protein (EC 1.16.-.-)
NCAV_1716,gatD,A0A2K5ATC7,Glutamyl-tRNA(Gln) amidotransferase subunit D (Glu-ADT subunit D) (EC 6.3.5.-)
NCAV_0333,NCAV_0333,A0A2K5API0,"Putative pyridoxamine 5'-phosphate oxidase, FMN-binding protein"
NCAV_1332,NCAV_1332,A0A2K5AS72,Putative ATP binding protein
NCAV_1757,NCAV_1757,A0A2K5ATE6,Putative arsenical pump-driving ATPase
NCAV_1504,NCAV_1504,A0A2K5ASP8,Putative transcriptional regulator PadR-like family protein
NCAV_1715,NCAV_1715,A0A2K5ATA1,Cell division cycle protein 48 homolog AF_1297
NCAV_1113,NCAV_1113,A0A2K5ARK8,CoA-binding domain protein
NCAV_1335,NCAV_1335,A0A2K5AS82,Putative Archaeal preflagellin peptidase FlaK
NCAV_1454,NCAV_1454,A0A2K5ASJ4,6-pyruvoyl tetrahydropterin synthase
NCAV_0305,NCAV_0305,A0A2K5APG1,Uncharacterized protein
NCAV_1298,NCAV_1298,A0A2K5AS53,Rhomboid domain-containing protein
NCAV_1448,pdxS,A0A2K5ASN0,Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)
NCAV_1311,NCAV_1311,A0A2K5AS64,Methyl-accepting chemotaxis protein
NCAV_1313,NCAV_1313,A0A2K5AS87,L-hydantoinase HyuH
NCAV_1740,NCAV_1740,A0A2K5ATD8,Uncharacterized protein
NCAV_1683,NCAV_1683,A0A2K5AT79,Uncharacterized protein
NCAV_0269,nuoI,A0A2K5AP95,NADH-quinone oxidoreductase subunit I (EC 1.6.5.11)
NCAV_0673,NCAV_0673,A0A2K5AQG8,Uncharacterized protein
NCAV_0580,NCAV_0580,A0A2K5AQ46,Glycos_transf_1 domain-containing protein
NCAV_1139,NCAV_1139,A0A2K5ARU1,Uncharacterized protein
NCAV_1144,NCAV_1144,A0A2K5ART9,Inosine monophosphate dehydrogenase
NCAV_1770,NCAV_1770,A0A2K5ATH4,Uncharacterized protein
NCAV_0145,cobQ,A0A2K5ANY1,Probable cobyric acid synthase
NCAV_1513,eno,A0A2K5AST2,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
NCAV_0208,tfb,A0A2K5AP36,Transcription initiation factor IIB
NCAV_0591,NCAV_0591,A0A2K5AQ88,Uncharacterized protein
NCAV_1783,cas7b,A0A2K5ATH1,"Putative CRISPR-associated negative autoregulator, DevR family"
NCAV_0050,ribH,A0A2K5ANN4,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"
NCAV_0295,NCAV_0295,A0A2K5APF0,Uncharacterized protein
NCAV_0850,NCAV_0850,A0A2K5AQU1,GTP-dependent dephospho-CoA kinase (EC 2.7.1.-) (Dephospho-coenzyme A kinase) (DPCK)
NCAV_0561,rpl7ae,A0A2K5AQ50,50S ribosomal protein L7Ae (Ribosomal protein L8e)
NCAV_1170,NCAV_1170,A0A2K5ARS8,Predicted transcriptional regulator with C-terminal CBS domains
NCAV_1264,NCAV_1264,A0A2K5AS07,Uncharacterized protein
NCAV_0205,rps8e,A0A2K5AP37,30S ribosomal protein S8e
NCAV_1097,mqnD,A0A2K5ARQ4,"1,4-dihydroxy-6-naphtoate synthase (EC 4.1.-.-) (Menaquinone biosynthetic enzyme MqnD)"
NCAV_0924,NCAV_0924,A0A2K5AR20,Uncharacterized protein
NCAV_1576,NCAV_1576,A0A2K5ASY5,Putative Copper resistance D domain protein
NCAV_0669,NCAV_0669,A0A2K5AQC3,Uncharacterized protein
NCAV_0266,NCAV_0266,A0A2K5AP93,NADH dehydrogenase
NCAV_0180,hisH,A0A2K5AP13,Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
NCAV_0812,NCAV_0812,A0A2K5AQR9,Radical SAM domain protein
NCAV_0367,NCAV_0367,A0A2K5APH9,Uncharacterized protein
NCAV_1496,rpoH,A0A2K5ASN6,DNA-directed RNA polymerase subunit H (EC 2.7.7.6)
NCAV_1801,NCAV_1801,A0A2K5ATL8,Uncharacterized protein
NCAV_0501,ctaB1,A0A2K5APY4,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)
NCAV_0686,NCAV_0686,A0A2K5AQI1,Putative beta-lactamase domain protein
NCAV_1664,prs,A0A2K5AT66,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
NCAV_1340,NCAV_1340,A0A2K5AS75,Uncharacterized protein
NCAV_1194,lysE,A0A2K5ART2,L-lysine exporter family protein
NCAV_1321,purU,A0A2K5AS76,Formyltetrahydrofolate deformylase (EC 3.5.1.10)
NCAV_1239,NCAV_1239,A0A2K5ARY1,AAA domain-containing protein
NCAV_0714,NCAV_0714,A0A2K5AQJ4,Uncharacterized protein
NCAV_1070,NCAV_1070,A0A2K5ARI5,Uncharacterized protein
NCAV_0268,NCAV_0268,A0A2K5APA3,NADH dehydrogenase subunit H (EC 1.6.5.3)
NCAV_1673,NCAV_1673,A0A2K5AT64,Uncharacterized protein
NCAV_0221,hemC,A0A2K5AP83,Probable porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)
NCAV_0137,NCAV_0137,A0A2K5ANY0,Uncharacterized protein
NCAV_0018,NCAV_0018,A0A2K5ANJ4,"Phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein"
NCAV_1172,NCAV_1172,A0A2K5ARV3,Putative threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5)
NCAV_1719,NCAV_1719,A0A2K5ATA4,Uncharacterized protein
NCAV_1699,NCAV_1699,A0A2K5AT88,Uncharacterized protein
NCAV_0711,tgtA,A0A2K5AQG0,tRNA-guanine(15) transglycosylase (EC 2.4.2.48) (7-cyano-7-deazaguanine tRNA-ribosyltransferase) (Archaeal tRNA-guanine transglycosylase)
NCAV_0813,NCAV_0813,A0A2K5AQQ8,Uncharacterized protein
NCAV_1500,NCAV_1500,A0A2K5ASN7,zinc_ribbon_2 domain-containing protein
NCAV_1198,NCAV_1198,A0A2K5ARW1,Uncharacterized protein
NCAV_1579,NCAV_1579,A0A2K5AT13,Uncharacterized protein
NCAV_0414,nnrD,A0A2K5APM9,ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase)
NCAV_0841,purF,A0A2K5AQZ4,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)
NCAV_1775,NCAV_1775,A0A2K5ATF6,Uncharacterized protein
NCAV_1125,NCAV_1125,A0A2K5ARM2,Uncharacterized protein
NCAV_0775,NCAV_0775,A0A2K5AQM6,Predicted endonuclease related to archaeal Holliday junction resolvase
NCAV_1630,NCAV_1630,A0A2K5AT17,Uncharacterized protein
NCAV_0695,NCAV_0695,A0A2K5AQE7,Putative Terminase-like family protein
NCAV_1210,NCAV_1210,A0A2K5ARW7,HTH asnC-type domain-containing protein
NCAV_0422,NCAV_0422,A0A2K5APQ4,Uncharacterized protein
NCAV_0736,rlmE,A0A2K5AQM7,Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)
NCAV_0586,NCAV_0586,A0A2K5AQA0,Uncharacterized protein
NCAV_1187,NCAV_1187,A0A2K5ARX6,Uncharacterized protein
NCAV_0942,NCAV_0942,A0A2K5AR92,Uncharacterized protein
NCAV_1352,NCAV_1352,A0A2K5AS90,Uncharacterized protein
NCAV_1028,NCAV_1028,A0A2K5ARF3,Uncharacterized protein
NCAV_0832,rpl3p,A0A2K5AQT8,50S ribosomal protein L3p
NCAV_1385,NCAV_1385,A0A2K5ASE0,Uncharacterized protein
NCAV_1136,NCAV_1136,A0A2K5ARN0,Uncharacterized protein
NCAV_1334,NCAV_1334,A0A2K5AS71,"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
NCAV_1290,NCAV_1290,A0A2K5AS50,SGL domain-containing protein
NCAV_1491,NCAV_1491,A0A2K5ASQ7,Uncharacterized protein
NCAV_0734,NCAV_0734,A0A2K5AQL3,Nucleoside-triphosphatase NCAV_0734 (NTPase) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase)
NCAV_0204,scpB,A0A2K5AP38,Chromosome segregation and condensation protein ScpB
NCAV_1135,NCAV_1135,A0A2K5ARN3,Uncharacterized protein
NCAV_0895,NCAV_0895,A0A2K5AQZ7,Uncharacterized protein
NCAV_1281,purP,A0A2K5AS17,5-formaminoimidazole-4-carboxamide-1-(Beta)-D-ribofuranosyl 5'-monophosphate synthetase (EC 6.3.4.23)
NCAV_1479,bcp,A0A2K5ASM0,Putative peroxiredoxin bcp (EC 1.11.1.15)
NCAV_1190,NCAV_1190,A0A2K5ARU9,Uncharacterized protein
NCAV_0515,cysA,A0A2K5APX2,Sulfurtransferase
NCAV_1126,NCAV_1126,A0A2K5ARL8,Uncharacterized protein
NCAV_1615,etfA,A0A2K5AT00,Electron transfer flavoprotein subunit alpha
NCAV_0581,NCAV_0581,A0A2K5AQ77,Uncharacterized protein
NCAV_0908,NCAV_0908,A0A2K5AR19,"Cyclic 2, 3-diphosphoglycerate synthetase"
NCAV_0427,fen,A0A2K5APP6,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)
NCAV_0097,sat,A0A2K5ANT4,Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)
NCAV_0500,NCAV_0500,A0A2K5APX0,Uncharacterized protein
NCAV_1528,NCAV_1528,A0A2K5ASS2,Poly(3-hydroxyalkanoate) polymerase subunit PhaE
NCAV_0254,NCAV_0254,A0A2K5AP84,"2:oxoacid-ferredoxin oxidoreductase, fused alpha and gamma subunit (EC 1.2.7.3)"
NCAV_0527,NCAV_0527,A0A2K5APZ9,Uncharacterized protein
NCAV_0385,aroA,A0A2K5APP4,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)
NCAV_0293,tbp,A0A2K5APE2,TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)
NCAV_0244,cmk,A0A2K5AP74,Cytidine monophosphate kinase (EC 2.7.4.25) (Cytidylate kinase)
NCAV_1175,NCAV_1175,A0A2K5ARR6,Uncharacterized protein
NCAV_0186,NCAV_0186,A0A2K5AP20,Uncharacterized protein
NCAV_1238,NCAV_1238,A0A2K5ARZ6,Putative CorA-like transport protein
NCAV_0207,NCAV_0207,A0A2K5AP54,Uncharacterized protein
NCAV_0073,NCAV_0073,A0A2K5ANR1,Uncharacterized protein
NCAV_0505,NCAV_0505,A0A2K5APW5,DUF1610 domain-containing protein
NCAV_0040,NCAV_0040,A0A2K5ANM1,Putative Proteasome assembly chaperone
NCAV_0716,NCAV_0716,A0A2K5AQK8,GRAM domain-containing protein
NCAV_0920,NCAV_0920,A0A2K5AR49,Uncharacterized protein
NCAV_0653,carA,A0A2K5AQA7,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)
NCAV_1507,NCAV_1507,A0A2K5ASQ3,OsmC-like protein (Osmotic induced)
NCAV_1560,sodA,A0A2K5ASW1,Superoxide dismutase (EC 1.15.1.1)
NCAV_1786,cas6,A0A2K5ATJ6,CRISPR-associated endoribonuclease
NCAV_0533,NCAV_0533,A0A2K5AQ04,Uncharacterized protein
NCAV_1026,NCAV_1026,A0A2K5ARC6,Uncharacterized protein
NCAV_0907,NCAV_0907,A0A2K5AR56,"Microtubule binding protein, putative"
NCAV_0495,NCAV_0495,A0A2K5APU9,Endonuclease IV
NCAV_0799,tpiA,A0A2K5AQR0,Triosephosphate isomerase (EC 5.3.1.1)
NCAV_1119,NCAV_1119,A0A2K5ARL5,Uncharacterized protein
NCAV_1736,NCAV_1736,A0A2K5ATE9,HTH arsR-type domain-containing protein
NCAV_0323,nfi,A0A2K5APH4,Endonuclease V (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V)
NCAV_0858,nadX,A0A2K5AQX8,L-aspartate dehydrogenase (EC 1.4.1.21)
NCAV_1734,NCAV_1734,A0A2K5ATD6,"7,8-dihydro-6-hydroxymethylpterin dimethyltransferase (EC 2.1.1.-)"
NCAV_0421,sdr,A0A2K5APQ5,Glucose/ribitol dehydrogenase family protein (EC 1.1.1.-)
NCAV_1543,NCAV_1543,A0A2K5AST4,"Transcriptional regulator, AsnC family"
NCAV_0445,NCAV_0445,A0A2K5APV5,Uncharacterized protein
NCAV_1117,eIF1A,A0A2K5ARS3,Translation initiation factor 1A (aIF-1A)
NCAV_1096,NCAV_1096,A0A2K5ARJ4,Uncharacterized protein
NCAV_0867,NCAV_0867,A0A2K5AR15,Putative Inositol 2-dehydrogenase (EC 1.1.1.18)
NCAV_0641,metG,A0A2K5AQC0,Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
NCAV_1213,menA,A0A2K5ARV9,"1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)"
NCAV_0151,ths2,A0A2K5ANY4,Thermosome subunit
NCAV_0002,NCAV_0002,A0A2K5ANJ8,Uncharacterized protein
NCAV_0470,NCAV_0470,A0A2K5APV2,Uncharacterized protein
NCAV_0411,argS,A0A2K5APP3,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
NCAV_0010,NCAV_0010,A0A2K5ANJ0,SHSP domain-containing protein
NCAV_0935,purA,A0A2K5AR41,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
NCAV_1307,NCAV_1307,A0A2K5AS51,Agmatinase (EC 3.5.3.11)
NCAV_1439,NCAV_1439,A0A2K5ASI9,tRNA uridine(34) acetyltransferase
NCAV_0661,NCAV_0661,A0A2K5AQF3,"Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits (EC 1.2.7.8)"
NCAV_1752,NCAV_1752,A0A2K5ATE7,UPF0201 protein NCAV_1752
